feature,feature,type,p_value,relevant
T_y__percentage_of_reoccurring_datapoints_to_all_datapoints,T_y__percentage_of_reoccurring_datapoints_to_all_datapoints,real,5.238824748550373e-11,True
T_x__mean_n_absolute_max__number_of_maxima_7,T_x__mean_n_absolute_max__number_of_maxima_7,real,5.243500246154705e-11,True
"T_y__fft_coefficient__attr_""abs""__coeff_4","T_y__fft_coefficient__attr_""abs""__coeff_4",real,5.792539586687231e-11,True
T_x__ratio_value_number_to_time_series_length,T_x__ratio_value_number_to_time_series_length,real,5.846879512864067e-11,True
F_x__lempel_ziv_complexity__bins_100,F_x__lempel_ziv_complexity__bins_100,real,5.904946999543364e-11,True
"F_z__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""","F_z__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",real,7.180967720613232e-11,True
"F_y__fft_coefficient__attr_""abs""__coeff_0","F_y__fft_coefficient__attr_""abs""__coeff_0",real,7.249961060790902e-11,True
T_y__percentage_of_reoccurring_values_to_all_values,T_y__percentage_of_reoccurring_values_to_all_values,real,7.651797793877189e-11,True
"T_y__fft_coefficient__attr_""abs""__coeff_3","T_y__fft_coefficient__attr_""abs""__coeff_3",real,8.029369594299759e-11,True
T_x__root_mean_square,T_x__root_mean_square,real,8.568832941489471e-11,True
T_x__abs_energy,T_x__abs_energy,real,8.568832941489471e-11,True
"F_x__fft_coefficient__attr_""abs""__coeff_2","F_x__fft_coefficient__attr_""abs""__coeff_2",real,8.568832941489471e-11,True
"T_y__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""","T_y__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",real,9.754342407034966e-11,True
"F_z__fft_coefficient__attr_""abs""__coeff_1","F_z__fft_coefficient__attr_""abs""__coeff_1",real,9.75618185702754e-11,True
"F_y__fft_coefficient__attr_""abs""__coeff_1","F_y__fft_coefficient__attr_""abs""__coeff_1",real,9.75618185702754e-11,True
"T_x__fft_coefficient__attr_""abs""__coeff_5","T_x__fft_coefficient__attr_""abs""__coeff_5",real,1.1101808138653506e-10,True
"T_x__fft_coefficient__attr_""abs""__coeff_2","T_x__fft_coefficient__attr_""abs""__coeff_2",real,1.1103889310651293e-10,True
"F_x__fft_coefficient__attr_""abs""__coeff_0","F_x__fft_coefficient__attr_""abs""__coeff_0",real,1.1736345821222708e-10,True
"F_x__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""","F_x__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",real,1.22210740704581e-10,True
T_z__mean_n_absolute_max__number_of_maxima_7,T_z__mean_n_absolute_max__number_of_maxima_7,real,1.329628990173087e-10,True
T_z__abs_energy,T_z__abs_energy,real,1.526039544321626e-10,True
T_z__root_mean_square,T_z__root_mean_square,real,1.526039544321626e-10,True
T_y__ratio_value_number_to_time_series_length,T_y__ratio_value_number_to_time_series_length,real,1.5828144217847597e-10,True
F_y__variance,F_y__variance,real,1.9785060804030338e-10,True
"T_x__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""","T_x__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",real,1.9785060804030338e-10,True
F_y__standard_deviation,F_y__standard_deviation,real,1.9785060804030338e-10,True
T_z__variance,T_z__variance,real,2.3172027854100977e-10,True
T_z__standard_deviation,T_z__standard_deviation,real,2.3172027854100977e-10,True
F_x__variance_larger_than_standard_deviation,F_x__variance_larger_than_standard_deviation,binary,2.4723465997831144e-10,True
"F_x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2","F_x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",real,2.549528015781566e-10,True
"F_x__fft_coefficient__attr_""abs""__coeff_4","F_x__fft_coefficient__attr_""abs""__coeff_4",real,2.550907323955519e-10,True
F_z__minimum,F_z__minimum,real,2.5864689002547456e-10,True
T_z__range_count__max_1__min_-1,T_z__range_count__max_1__min_-1,real,2.6043533146360124e-10,True
"T_z__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""","T_z__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",real,3.0789051778961815e-10,True
"T_x__fft_coefficient__attr_""abs""__coeff_4","T_x__fft_coefficient__attr_""abs""__coeff_4",real,3.0844108925616406e-10,True
"F_x__fft_coefficient__attr_""abs""__coeff_3","F_x__fft_coefficient__attr_""abs""__coeff_3",real,3.389668723045513e-10,True
"T_y__linear_trend__attr_""stderr""","T_y__linear_trend__attr_""stderr""",real,3.498037372837806e-10,True
T_z__absolute_maximum,T_z__absolute_maximum,real,3.573952272181784e-10,True
F_x__percentage_of_reoccurring_datapoints_to_all_datapoints,F_x__percentage_of_reoccurring_datapoints_to_all_datapoints,real,3.70295346022884e-10,True
"F_z__fft_coefficient__attr_""abs""__coeff_3","F_z__fft_coefficient__attr_""abs""__coeff_3",real,3.96705399003037e-10,True
"F_z__fft_coefficient__attr_""abs""__coeff_6","F_z__fft_coefficient__attr_""abs""__coeff_6",real,4.496472104163114e-10,True
F_y__ratio_value_number_to_time_series_length,F_y__ratio_value_number_to_time_series_length,real,4.5237416748975223e-10,True
"F_z__fft_aggregated__aggtype_""centroid""","F_z__fft_aggregated__aggtype_""centroid""",real,4.786441675421311e-10,True
T_z__ratio_value_number_to_time_series_length,T_z__ratio_value_number_to_time_series_length,real,4.803747941886936e-10,True
"F_x__fft_aggregated__aggtype_""variance""","F_x__fft_aggregated__aggtype_""variance""",real,5.094633616492858e-10,True
"F_z__fft_coefficient__attr_""abs""__coeff_2","F_z__fft_coefficient__attr_""abs""__coeff_2",real,5.422161675999399e-10,True
T_x__percentage_of_reoccurring_datapoints_to_all_datapoints,T_x__percentage_of_reoccurring_datapoints_to_all_datapoints,real,5.817251453465913e-10,True
F_y__range_count__max_1__min_-1,F_y__range_count__max_1__min_-1,real,6.405554675418554e-10,True
"T_z__fft_coefficient__attr_""abs""__coeff_1","T_z__fft_coefficient__attr_""abs""__coeff_1",real,6.531789032460642e-10,True
"F_x__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""","F_x__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",real,7.158819151779476e-10,True
"T_x__fft_coefficient__attr_""abs""__coeff_3","T_x__fft_coefficient__attr_""abs""__coeff_3",real,7.393667087664252e-10,True
F_z__sum_of_reoccurring_data_points,F_z__sum_of_reoccurring_data_points,real,7.533693703183828e-10,True
"F_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2","F_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",real,8.108115414908786e-10,True
"T_y__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0","T_y__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",real,8.361852086040387e-10,True
"F_z__fft_coefficient__attr_""abs""__coeff_4","F_z__fft_coefficient__attr_""abs""__coeff_4",real,8.364696698925267e-10,True
"T_y__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""","T_y__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",real,8.364696698925267e-10,True
"T_z__fft_coefficient__attr_""abs""__coeff_0","T_z__fft_coefficient__attr_""abs""__coeff_0",real,8.488110851320793e-10,True
"F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2","F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",real,8.59700656916805e-10,True
"F_x__linear_trend__attr_""stderr""","F_x__linear_trend__attr_""stderr""",real,9.459711044620326e-10,True
F_z__approximate_entropy__m_2__r_0.9,F_z__approximate_entropy__m_2__r_0.9,real,1.0629583895762747e-09,True
"T_y__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2","T_y__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",real,1.0694067740250392e-09,True
F_z__quantile__q_0.1,F_z__quantile__q_0.1,real,1.2048708272551132e-09,True
T_y__approximate_entropy__m_2__r_0.9,T_y__approximate_entropy__m_2__r_0.9,real,1.2751321242917334e-09,True
"T_z__fft_coefficient__attr_""abs""__coeff_4","T_z__fft_coefficient__attr_""abs""__coeff_4",real,1.3649390887556825e-09,True
"F_z__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""","F_z__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",real,1.450755729050301e-09,True
T_x__approximate_entropy__m_2__r_0.9,T_x__approximate_entropy__m_2__r_0.9,real,1.5314352792923405e-09,True
"F_z__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""","F_z__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",real,1.5400441811956652e-09,True
"F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2","F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",real,1.7310152993614187e-09,True
T_z__lempel_ziv_complexity__bins_100,T_z__lempel_ziv_complexity__bins_100,real,1.7477053469096997e-09,True
"F_z__fft_aggregated__aggtype_""skew""","F_z__fft_aggregated__aggtype_""skew""",real,1.7932250097689096e-09,True
T_x__percentage_of_reoccurring_values_to_all_values,T_x__percentage_of_reoccurring_values_to_all_values,real,1.813199554081702e-09,True
"T_z__fft_coefficient__attr_""abs""__coeff_2","T_z__fft_coefficient__attr_""abs""__coeff_2",real,1.8482174199178698e-09,True
F_z__ratio_value_number_to_time_series_length,F_z__ratio_value_number_to_time_series_length,real,1.9988990890910787e-09,True
F_z__percentage_of_reoccurring_datapoints_to_all_datapoints,F_z__percentage_of_reoccurring_datapoints_to_all_datapoints,real,2.2154717073090123e-09,True
"F_y__fft_coefficient__attr_""abs""__coeff_2","F_y__fft_coefficient__attr_""abs""__coeff_2",real,2.351817713204398e-09,True
F_y__percentage_of_reoccurring_datapoints_to_all_datapoints,F_y__percentage_of_reoccurring_datapoints_to_all_datapoints,real,2.43079471510779e-09,True
T_y__cid_ce__normalize_False,T_y__cid_ce__normalize_False,real,2.6499712590145544e-09,True
"F_z__fft_aggregated__aggtype_""variance""","F_z__fft_aggregated__aggtype_""variance""",real,2.651244783308888e-09,True
"T_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0","T_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",real,2.894785498489171e-09,True
F_x__cid_ce__normalize_False,F_x__cid_ce__normalize_False,real,3.258661665951878e-09,True
"T_y__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0","T_y__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",real,3.2658953077968343e-09,True
F_y__lempel_ziv_complexity__bins_100,F_y__lempel_ziv_complexity__bins_100,real,3.475166728157154e-09,True
"F_x__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""","F_x__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",real,3.5028969485711814e-09,True
T_x__mean_abs_change,T_x__mean_abs_change,real,3.562537827909918e-09,True
"T_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0","T_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",real,3.562537827909918e-09,True
T_x__absolute_sum_of_changes,T_x__absolute_sum_of_changes,real,3.562537827909918e-09,True
"T_z__linear_trend__attr_""stderr""","T_z__linear_trend__attr_""stderr""",real,3.5709704958744874e-09,True
"T_x__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""","T_x__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",real,3.5715333046128523e-09,True
T_x__cid_ce__normalize_False,T_x__cid_ce__normalize_False,real,3.9012683025563735e-09,True
"T_y__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0","T_y__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",real,4.020985411804902e-09,True
"F_z__linear_trend__attr_""stderr""","F_z__linear_trend__attr_""stderr""",real,4.020985411804902e-09,True
T_y__cid_ce__normalize_True,T_y__cid_ce__normalize_True,real,4.265898470746578e-09,True
"T_y__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""","T_y__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",real,4.298817700878668e-09,True
"F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0","F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",real,4.3827978736326365e-09,True
T_z__variance_larger_than_standard_deviation,T_z__variance_larger_than_standard_deviation,binary,4.636047586862167e-09,True
T_y__spkt_welch_density__coeff_2,T_y__spkt_welch_density__coeff_2,real,4.800039447487535e-09,True
F_z__percentage_of_reoccurring_values_to_all_values,F_z__percentage_of_reoccurring_values_to_all_values,real,4.875920387176741e-09,True
F_x__longest_strike_above_mean,F_x__longest_strike_above_mean,real,5.108073038280142e-09,True
"T_y__fft_coefficient__attr_""abs""__coeff_5","T_y__fft_coefficient__attr_""abs""__coeff_5",real,5.38575032026804e-09,True
"T_y__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""","T_y__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",real,5.893606495920485e-09,True
F_x__spkt_welch_density__coeff_2,F_x__spkt_welch_density__coeff_2,real,6.436066256201292e-09,True
"F_x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0","F_x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",real,6.620723436705536e-09,True
"F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0","F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",real,6.790886524881017e-09,True
"F_y__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""","F_y__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",real,7.231377358702465e-09,True
F_z__quantile__q_0.2,F_z__quantile__q_0.2,real,7.4101149966806765e-09,True
"F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0","F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",real,7.655415371290918e-09,True
"T_z__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0","T_z__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",real,7.757237834608619e-09,True
T_z__absolute_sum_of_changes,T_z__absolute_sum_of_changes,real,7.757237834608619e-09,True
T_z__mean_abs_change,T_z__mean_abs_change,real,7.757237834608619e-09,True
T_z__cid_ce__normalize_False,T_z__cid_ce__normalize_False,real,7.836117536323879e-09,True
"F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0","F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",real,8.118280237473572e-09,True
"T_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0","T_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",real,8.12317054920319e-09,True
"T_x__linear_trend__attr_""stderr""","T_x__linear_trend__attr_""stderr""",real,8.124393534211006e-09,True
F_y__cid_ce__normalize_True,F_y__cid_ce__normalize_True,real,8.124393534211006e-09,True
F_x__mean_abs_change,F_x__mean_abs_change,real,8.290943707169664e-09,True
"F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0","F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",real,8.290943707169664e-09,True
F_x__absolute_sum_of_changes,F_x__absolute_sum_of_changes,real,8.290943707169664e-09,True
"T_x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0","T_x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",real,8.362311941113488e-09,True
"T_y__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0","T_y__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",real,9.665915985746508e-09,True
"T_z__fft_coefficient__attr_""abs""__coeff_5","T_z__fft_coefficient__attr_""abs""__coeff_5",real,9.708881158762472e-09,True
"F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0","F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",real,1.0212947859195306e-08,True
F_z__absolute_sum_of_changes,F_z__absolute_sum_of_changes,real,1.0212947859195306e-08,True
F_z__mean_abs_change,F_z__mean_abs_change,real,1.0212947859195306e-08,True
"T_y__fft_coefficient__attr_""abs""__coeff_7","T_y__fft_coefficient__attr_""abs""__coeff_7",real,1.084780055123968e-08,True
F_z__cid_ce__normalize_False,F_z__cid_ce__normalize_False,real,1.084780055123968e-08,True
"F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0","F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",real,1.2503612843844637e-08,True
"T_y__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2","T_y__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",real,1.2867238961055796e-08,True
F_y__value_count__value_-1,F_y__value_count__value_-1,real,1.289989298899711e-08,True
F_z__sum_of_reoccurring_values,F_z__sum_of_reoccurring_values,real,1.3250822567124944e-08,True
"T_y__fft_aggregated__aggtype_""variance""","T_y__fft_aggregated__aggtype_""variance""",real,1.5299070177530293e-08,True
"F_y__fft_coefficient__attr_""abs""__coeff_4","F_y__fft_coefficient__attr_""abs""__coeff_4",real,1.5299070177530293e-08,True
"F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0","F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",real,1.61914155439589e-08,True
"T_x__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""","T_x__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",real,1.6196099847066445e-08,True
"T_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0","T_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",real,1.66131078417437e-08,True
"F_y__fft_coefficient__attr_""abs""__coeff_3","F_y__fft_coefficient__attr_""abs""__coeff_3",real,1.7141654722200224e-08,True
"F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0","F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",real,1.809648144789738e-08,True
"T_z__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0","T_z__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",real,1.86438733510245e-08,True
"F_x__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""","F_x__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",real,1.8662601091684284e-08,True
"F_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0","F_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",real,2.0311366028903993e-08,True
"T_y__fft_coefficient__attr_""abs""__coeff_6","T_y__fft_coefficient__attr_""abs""__coeff_6",real,2.0322962388314404e-08,True
"T_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0","T_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",real,2.0899687536701587e-08,True
"F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0","F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",real,2.1382512281122526e-08,True
"T_y__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2","T_y__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",real,2.150452753106722e-08,True
"T_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0","T_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",real,2.2752666635345353e-08,True
"T_z__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0","T_z__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",real,2.3313579444054406e-08,True
"T_z__fft_coefficient__attr_""abs""__coeff_6","T_z__fft_coefficient__attr_""abs""__coeff_6",real,2.3389586109891325e-08,True
"T_y__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0","T_y__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",real,2.3399516031363234e-08,True
"T_x__fft_coefficient__attr_""abs""__coeff_6","T_x__fft_coefficient__attr_""abs""__coeff_6",real,2.4071004396186253e-08,True
"T_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0","T_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",real,2.4542082911033468e-08,True
F_x__approximate_entropy__m_2__r_0.1,F_x__approximate_entropy__m_2__r_0.1,real,2.4821874059765088e-08,True
"F_z__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""","F_z__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",real,2.618485285153162e-08,True
"F_y__fft_coefficient__attr_""abs""__coeff_5","F_y__fft_coefficient__attr_""abs""__coeff_5",real,2.8386959838385907e-08,True
"T_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0","T_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",real,2.923771690180035e-08,True
"T_y__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2","T_y__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",real,2.9258129703962043e-08,True
T_y__partial_autocorrelation__lag_1,T_y__partial_autocorrelation__lag_1,real,3.012569077302757e-08,True
T_y__autocorrelation__lag_1,T_y__autocorrelation__lag_1,real,3.012569077302757e-08,True
"T_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2","T_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",real,3.086747092321308e-08,True
"T_z__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0","T_z__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",real,3.0919047834373006e-08,True
"T_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0","T_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",real,3.368337213754013e-08,True
"T_x__fft_coefficient__attr_""abs""__coeff_7","T_x__fft_coefficient__attr_""abs""__coeff_7",real,3.368337213754013e-08,True
"F_z__fft_coefficient__attr_""abs""__coeff_7","F_z__fft_coefficient__attr_""abs""__coeff_7",real,3.368337213754013e-08,True
"T_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0","T_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",real,3.4083521093575474e-08,True
"T_z__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""","T_z__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",real,3.558727288750474e-08,True
T_x__cid_ce__normalize_True,T_x__cid_ce__normalize_True,real,3.561181736660256e-08,True
"F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4","F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",real,3.738413957027027e-08,True
T_y__absolute_sum_of_changes,T_y__absolute_sum_of_changes,real,3.855828118914056e-08,True
"T_y__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0","T_y__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",real,3.855828118914056e-08,True
T_y__mean_abs_change,T_y__mean_abs_change,real,3.855828118914056e-08,True
"T_y__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6","T_y__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",real,3.8968958868032485e-08,True
"T_z__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0","T_z__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",real,4.080148756485363e-08,True
"F_y__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""","F_y__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",real,4.2050248494422246e-08,True
"F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4","F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",real,4.551220531354686e-08,True
"F_z__fft_coefficient__attr_""abs""__coeff_5","F_z__fft_coefficient__attr_""abs""__coeff_5",real,4.6963713382807475e-08,True
