字詞,次数
x__fft_coefficient__attr_real__coeff_8,1
x__fft_coefficient__attr_imag__coeff_8,1
x__cwt_coefficients__coeff_4__w_20__widths_(2,1
x__agg_linear_trend__attr_slope__chunk_len_5__f_agg_mean,1
x__agg_linear_trend__attr_slope__chunk_len_10__f_agg_mean,1
x__percentage_of_reoccurring_values_to_all_values,1
x__linear_trend__attr_slope,1
x__energy_ratio_by_chunks__num_segments_10__segment_focus_0,1
x__large_standard_deviation__r_0,1
x__agg_linear_trend__attr_rvalue__chunk_len_50__f_agg_mean,1
x__fft_coefficient__attr_imag__coeff_35,1
x__fft_coefficient__attr_real__coeff_34,1
x__cwt_coefficients__coeff_5__w_20__widths_(2,1
x__energy_ratio_by_chunks__num_segments_10__segment_focus_7,1
x__cwt_coefficients__coeff_6__w_20__widths_(2,1
x__fft_coefficient__attr_real__coeff_76,1
x__fft_coefficient__attr_real__coeff_51,1
x__cwt_coefficients__coeff_7__w_20__widths_(2,1
x__ratio_beyond_r_sigma__r_3,1
x__cwt_coefficients__coeff_8__w_20__widths_(2,1
x__fft_coefficient__attr_imag__coeff_40,1
x__fft_coefficient__attr_real__coeff_97,1
x__variance,1
x__standard_deviation,1
x__permutation_entropy__dimension_4__tau_1,1
x__cwt_coefficients__coeff_9__w_20__widths_(2,1
x__fft_coefficient__attr_imag__coeff_5,1
x__fft_coefficient__attr_imag__coeff_58,1
x__fft_coefficient__attr_imag__coeff_52,1
x__fft_coefficient__attr_abs__coeff_1,1
x__cwt_coefficients__coeff_10__w_20__widths_(2,1
x__time_reversal_asymmetry_statistic__lag_2,1
x__fft_coefficient__attr_imag__coeff_74,1
x__energy_ratio_by_chunks__num_segments_10__segment_focus_5,1
x__energy_ratio_by_chunks__num_segments_10__segment_focus_2,1
x__fft_coefficient__attr_abs__coeff_22,1
x__energy_ratio_by_chunks__num_segments_10__segment_focus_3,1
x__cwt_coefficients__coeff_9__w_10__widths_(2,1
x__cwt_coefficients__coeff_8__w_10__widths_(2,1
x__cwt_coefficients__coeff_10__w_10__widths_(2,1
x__fft_coefficient__attr_real__coeff_35,1
x__cwt_coefficients__coeff_11__w_20__widths_(2,1
x__cwt_coefficients__coeff_7__w_10__widths_(2,1
x__agg_linear_trend__attr_intercept__chunk_len_50__f_agg_var,1
x__agg_linear_trend__attr_stderr__chunk_len_10__f_agg_var,1
x__cwt_coefficients__coeff_11__w_10__widths_(2,1
x__cwt_coefficients__coeff_12__w_10__widths_(2,1
x__fft_coefficient__attr_imag__coeff_31,1
x__fft_coefficient__attr_real__coeff_75,1
